Price,Location,Square_Feet,Bedrooms,Bathrooms,Year_Built,Lot_Size,Neighborhood,City
406963,Northeast,2842,4,2,2019,6096,Greenwood,San Jose
376079,Northwest,2689,3,2,1989,3596,Brighton,San Francisco
407340,Northwest,1571,4,3,1995,5178,Capitol Hill,San Francisco
240994,Northeast,1827,3,2,1994,3967,Brighton,San Francisco
382426,Northwest,1285,2,3,1992,5177,Hawthorne,San Francisco
428569,Northwest,1886,4,2,2017,6456,Brighton,Portland
518231,Northeast,2506,3,3,1999,4758,Greenwood,Seattle
358538,Northwest,2034,4,2,2003,3476,Greenwood,San Jose
335320,Central,2384,4,2,2020,5265,Brighton,San Jose
359859,Southwest,1591,5,3,1986,4669,Hawthorne,Portland
473232,Northeast,2519,4,1,2002,5501,Capitol Hill,Seattle
426300,Southwest,1977,3,4,2003,5264,Greenwood,Seattle
357619,Northwest,2204,4,2,2008,5675,Greenwood,Portland
441061,Northwest,2162,4,2,1984,6672,Hawthorne,San Francisco
407766,Central,1691,4,3,2022,5122,Brighton,Seattle
477491,Northeast,1738,4,3,2014,5586,Greenwood,San Francisco
343835,Northwest,2587,4,2,1980,5176,Greenwood,Portland
373787,Northeast,2359,3,4,2015,6510,Hawthorne,San Jose
368631,Northeast,2620,4,1,1997,5656,Brighton,San Jose
282918,Northeast,2329,3,2,1985,6019,Hawthorne,San Jose
423689,Northeast,2257,3,2,2002,6260,Hawthorne,San Jose
420884,Northeast,1509,4,2,1989,3555,Brighton,Seattle
400409,Southwest,2091,3,2,1986,6286,Greenwood,San Francisco
381233,Central,2189,2,2,1987,5880,Capitol Hill,San Jose
286770,Northeast,2981,2,2,1992,4825,Capitol Hill,San Jose
366348,Southwest,2474,4,3,2009,6788,Capitol Hill,San Jose
372582,Northwest,2814,3,2,1997,6487,Hawthorne,Portland
335817,Northeast,2439,4,4,1993,5310,Greenwood,Seattle
387097,Northwest,1915,3,3,1990,3430,Greenwood,Portland
432324,Northeast,2246,3,2,2021,5442,Greenwood,San Francisco
550894,Southwest,2294,3,2,2017,4501,Greenwood,San Jose
413966,Southwest,1824,4,2,1992,3304,Hawthorne,Seattle
420604,Southwest,2046,3,3,2021,6081,Capitol Hill,Seattle
394044,Central,2117,5,1,2012,7026,Capitol Hill,Seattle
246498,Northwest,2842,5,2,1992,5406,Brighton,Portland
397878,Central,1367,4,4,2004,5759,Greenwood,Portland
404818,Northeast,2682,5,3,2003,6842,Capitol Hill,Portland
597059,Northwest,1825,3,2,2008,5677,Capitol Hill,Portland
384611,Southwest,1651,4,2,2015,4890,Greenwood,San Francisco
424123,Northwest,2671,4,3,1985,3271,Greenwood,San Jose
397223,Southwest,2492,4,3,1997,6315,Capitol Hill,San Jose
306505,Central,2701,5,2,2007,5917,Brighton,Portland
491425,Central,2520,4,2,1984,6427,Greenwood,Portland
460154,Southwest,3023,5,3,1997,3052,Capitol Hill,Portland
463282,Southwest,2423,3,3,2016,7576,Brighton,San Francisco
327249,Northeast,2137,4,3,1986,4709,Hawthorne,San Francisco
512223,Central,2337,4,2,1988,6592,Brighton,Seattle
287851,Central,2697,4,4,2014,3600,Greenwood,San Jose
446948,Northeast,1888,3,2,1991,4725,Hawthorne,Portland
575236,Central,1939,4,2,2019,4955,Brighton,Seattle
320757,Southwest,2076,5,3,2018,4478,Capitol Hill,San Jose
354696,Northwest,1358,3,2,2003,4677,Greenwood,Seattle
407972,Northwest,2255,4,3,1988,7120,Hawthorne,San Francisco
359721,Central,1445,3,1,1991,5160,Capitol Hill,San Francisco
275946,Northeast,2221,5,3,2015,7629,Hawthorne,Seattle
405485,Southwest,2546,3,2,2016,6555,Brighton,Seattle
315015,Northwest,2009,3,3,1988,3495,Capitol Hill,San Jose
437887,Southwest,2870,3,1,2018,5157,Greenwood,Portland
326446,Central,1615,4,3,2001,5113,Capitol Hill,San Jose
523994,Central,2676,2,3,1996,4553,Brighton,San Jose
337339,Northwest,2470,4,2,2012,6719,Hawthorne,San Francisco
374235,Central,1513,5,2,2003,6361,Capitol Hill,San Francisco
465081,Northeast,3284,5,2,1994,7657,Hawthorne,Seattle
301530,Central,2174,2,3,2008,5041,Greenwood,San Francisco
418196,Central,1849,5,2,2011,5938,Capitol Hill,San Jose
504571,Central,1637,4,2,2012,5147,Hawthorne,Seattle
271401,Southwest,2111,3,2,2008,5101,Greenwood,Seattle
414770,Southwest,2149,2,4,1994,6311,Brighton,San Francisco
420790,Northwest,2241,3,2,2006,7701,Capitol Hill,Portland
462545,Northwest,2080,4,1,2013,6484,Capitol Hill,San Francisco
301043,Northwest,2453,2,3,1983,6377,Capitol Hill,Seattle
294363,Central,2044,3,3,1997,5441,Hawthorne,Seattle
441755,Southwest,1426,4,2,2000,6347,Hawthorne,Portland
423758,Northeast,2140,4,4,1987,6677,Greenwood,San Jose
420039,Central,1253,4,3,1985,4641,Capitol Hill,Seattle
427715,Central,2341,4,2,1999,5541,Greenwood,Portland
345598,Central,1808,2,2,1981,5175,Capitol Hill,San Jose
418580,Northeast,2265,5,3,2001,4867,Brighton,San Francisco
423445,Northwest,2725,3,2,2000,6483,Capitol Hill,Portland
342851,Northeast,1820,4,2,1985,5264,Greenwood,San Jose
549261,Northwest,2624,4,2,2011,5974,Hawthorne,Seattle
437906,Northeast,2026,3,3,1985,5982,Brighton,Seattle
304695,Southwest,2901,5,2,1992,5230,Brighton,Portland
452524,Central,2053,3,3,1980,4044,Capitol Hill,San Francisco
322025,Central,1863,2,2,2001,5149,Brighton,Portland
462966,Central,2474,5,3,2003,6028,Greenwood,Seattle
492687,Northwest,2025,4,3,2020,5802,Greenwood,San Jose
334345,Northeast,1863,4,2,2009,3549,Capitol Hill,San Francisco
477070,Southwest,2008,4,3,2001,6311,Hawthorne,San Jose
433022,Northeast,2182,4,2,1991,4946,Brighton,Portland
465764,Central,2736,2,3,2005,6072,Brighton,Portland
551743,Southwest,1426,3,1,1983,6314,Capitol Hill,San Jose
380368,Southwest,2209,3,2,1998,5970,Brighton,San Jose
339701,Central,2449,2,4,1995,7382,Hawthorne,San Jose
328838,Northeast,2277,4,4,1991,6499,Capitol Hill,Portland
334735,Central,2723,3,2,2012,5046,Greenwood,San Jose
393831,Northeast,2170,3,2,2000,5148,Brighton,Seattle
427292,Southwest,2126,2,1,2015,5424,Capitol Hill,San Jose
422135,Southwest,2436,4,3,1988,5148,Greenwood,Seattle
466174,Central,2239,4,2,2018,5869,Greenwood,Seattle
401040,Southwest,2043,3,2,2021,4366,Greenwood,San Jose
516282,Northwest,2406,4,2,1987,6882,Capitol Hill,San Francisco
378827,Southwest,1938,3,4,1999,5541,Capitol Hill,San Francisco
617613,Northwest,1955,4,2,1989,6853,Greenwood,San Francisco
450053,Southwest,1988,2,2,2011,4316,Greenwood,Seattle
331427,Central,2741,3,2,2007,4319,Capitol Hill,San Francisco
314328,Central,911,4,2,1989,6579,Capitol Hill,San Francisco
438597,Northwest,2358,5,3,1987,4852,Hawthorne,San Jose
382122,Central,2213,3,4,2012,4503,Greenwood,Portland
457120,Southwest,1527,4,3,1992,6664,Brighton,Seattle
437859,Southwest,2323,4,2,2014,4687,Brighton,Portland
394173,Central,2390,5,3,2008,5481,Capitol Hill,Seattle
332256,Southwest,2435,3,2,1984,4958,Brighton,Seattle
278812,Northeast,1139,3,2,1982,6257,Capitol Hill,San Francisco
364278,Northeast,2746,5,4,2016,5726,Hawthorne,San Jose
468511,Southwest,1904,2,2,2020,6411,Capitol Hill,Portland
417127,Central,2474,3,2,1985,4301,Greenwood,Portland
300340,Northwest,2496,2,4,2021,5741,Capitol Hill,San Francisco
413854,Central,1849,4,2,1995,5591,Brighton,Portland
430825,Northwest,2464,2,3,2014,4751,Brighton,Portland
329291,Central,2045,5,4,1997,4464,Brighton,Seattle
412298,Southwest,1371,3,2,1990,5412,Greenwood,San Jose
404656,Northeast,2667,2,1,2002,5209,Capitol Hill,San Jose
308562,Central,1889,3,2,1990,6679,Capitol Hill,Portland
428622,Northwest,1858,3,2,2008,6325,Brighton,Portland
444862,Northeast,2038,4,2,2021,4813,Greenwood,Seattle
486644,Northwest,2308,4,3,2006,5243,Brighton,San Francisco
484304,Southwest,2177,3,2,1988,6046,Brighton,Seattle
289786,Northeast,2419,2,2,2014,6156,Greenwood,San Francisco
324973,Northwest,1664,4,2,1988,6688,Brighton,San Francisco
441202,Central,1903,4,2,1997,5436,Hawthorne,Seattle
441102,Southwest,2153,4,3,2000,5659,Greenwood,San Jose
441203,Southwest,2959,4,2,2015,3719,Brighton,Seattle
708218,Southwest,2154,3,3,1980,4389,Capitol Hill,San Francisco
445671,Central,2634,5,2,2006,6411,Hawthorne,San Jose
490845,Central,2215,3,2,2019,4408,Capitol Hill,San Jose
476320,Northeast,2006,2,2,2017,3824,Capitol Hill,Seattle
452111,Central,2101,4,2,2008,6268,Hawthorne,San Jose
374778,Northeast,2132,5,3,2019,5105,Greenwood,San Jose
460717,Southwest,2441,4,2,1998,4705,Brighton,Seattle
338173,Northeast,2749,3,4,2003,4021,Capitol Hill,Portland
381054,Northwest,2343,3,2,1980,4028,Capitol Hill,San Jose
361170,Southwest,2674,3,4,2015,5053,Capitol Hill,Seattle
406549,Southwest,1814,5,1,2002,5358,Greenwood,Seattle
585172,Northeast,2034,3,2,1992,6743,Capitol Hill,Portland
250618,Southwest,1910,4,1,2009,5366,Capitol Hill,San Jose
454900,Central,2325,3,2,2016,5179,Capitol Hill,San Francisco
270982,Northwest,2056,4,3,1990,5210,Hawthorne,San Francisco
362245,Northeast,2491,5,1,1986,3247,Hawthorne,San Jose
487116,Northeast,1827,3,2,2014,5009,Capitol Hill,San Jose
405142,Southwest,2217,3,2,1990,6134,Greenwood,Seattle
313780,Central,2474,4,2,2022,5586,Greenwood,Seattle
342775,Southwest,1373,4,3,2019,6275,Brighton,San Francisco
454367,Southwest,3048,4,3,2000,6581,Hawthorne,San Jose
341570,Northeast,2086,4,3,1982,3854,Greenwood,Seattle
417316,Southwest,1389,3,2,2009,4849,Capitol Hill,San Francisco
403645,Northwest,2263,4,4,2003,6504,Hawthorne,San Francisco
347871,Southwest,2213,3,3,2017,5604,Greenwood,Portland
571515,Southwest,2167,5,2,1982,5350,Brighton,San Jose
450713,Northeast,2596,3,2,2016,6533,Capitol Hill,Portland
237988,Southwest,2498,4,4,2012,4708,Hawthorne,Seattle
414916,Central,2319,3,2,2001,4768,Brighton,Seattle
347057,Northeast,2380,3,3,2010,4702,Brighton,San Francisco
468194,Southwest,2158,3,2,1991,4170,Hawthorne,Seattle
336598,Northwest,2910,4,2,1993,5278,Greenwood,Portland
390821,Northwest,1608,4,3,1991,5680,Capitol Hill,San Jose
440398,Northeast,2255,5,3,2006,4455,Brighton,San Francisco
469260,Northeast,2226,3,2,1992,5392,Brighton,San Francisco
303976,Southwest,2525,4,3,2003,4902,Hawthorne,Seattle
373239,Central,1862,4,2,2017,5423,Hawthorne,San Francisco
362004,Southwest,1502,3,3,1988,6944,Hawthorne,San Francisco
347733,Northwest,2262,3,4,1987,5586,Brighton,San Jose
541236,Central,2312,3,3,2016,5605,Greenwood,San Francisco
432398,Central,2795,3,2,1994,7537,Greenwood,San Jose
299129,Central,1691,3,2,1986,4992,Capitol Hill,Portland
473428,Southwest,2661,4,3,2003,6112,Hawthorne,San Francisco
569772,Northwest,3146,3,2,1995,4968,Capitol Hill,Portland
482597,Northeast,2048,4,2,2003,6285,Brighton,San Jose
278450,Southwest,1683,5,4,2022,4595,Brighton,San Francisco
361261,Northeast,2037,4,2,1986,5165,Brighton,Seattle
501352,Central,2205,4,2,2022,4938,Capitol Hill,Seattle
343386,Central,2425,2,1,2007,4456,Hawthorne,San Francisco
435505,Southwest,1963,5,1,1981,3373,Capitol Hill,San Jose
461970,Northwest,2822,3,1,2013,5907,Capitol Hill,Seattle
325845,Central,1754,4,4,2017,4863,Brighton,Portland
395237,Northeast,1504,5,2,1982,5228,Brighton,San Jose
140698,Northeast,2642,4,2,1980,5370,Greenwood,San Jose
318048,Southwest,1290,4,3,2010,4034,Hawthorne,San Francisco
379794,Northeast,2118,3,3,2002,5106,Hawthorne,Portland
300177,Northwest,3447,2,3,1999,3713,Hawthorne,San Jose
530592,Central,2195,4,2,1995,5040,Capitol Hill,San Francisco
285588,Northeast,1751,2,3,2011,6998,Brighton,Portland
364796,Northeast,2177,4,2,1996,4962,Brighton,San Jose
410459,Central,2179,2,1,1997,4352,Greenwood,Seattle
515301,Southwest,2264,5,2,1983,5009,Capitol Hill,Portland
285131,Northeast,2464,3,2,2014,7068,Hawthorne,San Jose
493053,Southwest,1784,4,2,2019,5050,Capitol Hill,Portland
400818,Southwest,2875,4,3,2015,3950,Brighton,Seattle
321479,Northeast,2298,3,2,2002,3674,Greenwood,San Jose
436968,Northwest,2490,3,3,1994,5094,Capitol Hill,Seattle
415924,Southwest,1948,3,1,1992,6313,Brighton,San Francisco
351982,Northeast,2714,3,2,1993,5941,Capitol Hill,San Francisco
405584,Southwest,2097,3,2,1993,6597,Brighton,San Jose
369174,Central,2311,3,4,2016,6127,Capitol Hill,San Jose
409081,Northwest,1826,4,3,1984,5511,Hawthorne,Portland
452970,Northwest,1801,3,4,2001,2859,Capitol Hill,San Jose
526881,Central,2475,5,3,2007,6884,Capitol Hill,San Francisco
300974,Central,2022,4,3,1983,4043,Hawthorne,San Jose
570642,Southwest,1858,3,3,2017,7810,Capitol Hill,Portland
243832,Central,1942,3,3,2008,4733,Brighton,San Francisco
387857,Northwest,2479,5,2,2016,4774,Brighton,San Jose
447065,Central,1948,2,2,2014,4967,Brighton,Seattle
422479,Northeast,2152,4,2,1999,5513,Brighton,Seattle
350184,Northeast,2206,4,2,2014,4129,Brighton,Seattle
383350,Southwest,1433,3,2,2014,4615,Hawthorne,Seattle
360559,Northwest,1611,4,2,1999,6434,Hawthorne,Portland
352850,Northeast,2334,3,2,1981,6841,Capitol Hill,Seattle
467968,Central,1905,3,1,1997,4394,Brighton,Seattle
428561,Northeast,2622,4,4,2009,5833,Capitol Hill,San Jose
344567,Northeast,2586,4,2,2021,4976,Brighton,Seattle
471967,Southwest,2487,5,2,2008,6002,Capitol Hill,Seattle
424583,Central,2927,4,3,2018,4602,Hawthorne,San Jose
465028,Central,2166,4,2,2001,6231,Brighton,San Francisco
450370,Central,2459,4,2,2008,5366,Hawthorne,Portland
333680,Southwest,1966,2,2,1989,5007,Capitol Hill,Portland
355185,Central,3180,4,2,1999,5462,Hawthorne,San Francisco
459783,Central,2993,4,2,1995,6944,Hawthorne,San Jose
448829,Northeast,2204,2,1,1985,5405,Hawthorne,San Francisco
398327,Northeast,2354,4,2,1996,5784,Greenwood,Portland
409386,Central,2743,2,3,1985,5589,Capitol Hill,Portland
502213,Northwest,2141,4,2,2001,5594,Capitol Hill,San Francisco
352674,Northwest,1937,4,3,1997,6718,Brighton,Seattle
443767,Central,2549,5,2,2011,6332,Brighton,Portland
383824,Northwest,2231,3,2,2007,4139,Brighton,San Francisco
382585,Southwest,2273,4,3,2021,6048,Hawthorne,Seattle
487902,Northeast,1866,3,1,1989,7112,Capitol Hill,Seattle
466033,Southwest,1512,4,3,2020,5267,Hawthorne,San Jose
465080,Northeast,2294,4,2,2001,6354,Capitol Hill,San Francisco
504438,Northwest,2561,4,3,2007,2734,Hawthorne,Portland
401680,Northwest,2109,4,2,1994,4533,Brighton,San Jose
454556,Central,2774,5,2,2022,7894,Hawthorne,Portland
375178,Northwest,1918,2,3,2008,6263,Greenwood,Seattle
425933,Northwest,1778,3,3,1986,5718,Brighton,San Francisco
389588,Central,2173,4,2,2013,7340,Greenwood,Seattle
407759,Central,2166,3,4,2011,4389,Greenwood,Seattle
447612,Northeast,2507,3,1,1981,6769,Brighton,Seattle
334542,Northwest,1890,4,1,2005,4642,Greenwood,San Francisco
567390,Northeast,2747,3,2,1990,5594,Greenwood,San Jose
319518,Northeast,2986,3,3,2004,3875,Capitol Hill,Portland
302864,Southwest,2184,4,4,1998,5116,Hawthorne,Seattle
492648,Northwest,2699,3,2,1999,6823,Greenwood,Portland
463333,Northwest,1777,2,1,2012,4989,Hawthorne,Portland
449929,Southwest,2630,2,3,1996,5993,Greenwood,San Jose
450267,Northeast,2618,5,2,2009,5013,Brighton,San Francisco
399020,Northwest,2545,5,2,1997,5930,Brighton,Portland
328219,Northeast,2193,4,2,2011,6244,Capitol Hill,San Jose
406064,Southwest,1018,3,1,2019,4821,Brighton,Portland
345827,Central,1943,5,2,1983,4634,Capitol Hill,Seattle
478009,Northeast,1949,4,2,2011,5097,Brighton,San Jose
388235,Northwest,1808,4,3,1998,5075,Hawthorne,San Francisco
333960,Central,2248,4,3,1982,3475,Greenwood,San Francisco
374289,Northeast,2032,3,2,2017,5834,Greenwood,Seattle
433034,Northeast,1870,3,2,2007,5881,Capitol Hill,Seattle
354902,Central,1776,3,2,2017,3703,Brighton,Portland
334222,Central,1913,3,2,1985,6338,Hawthorne,San Jose
419494,Central,2648,4,3,2019,5100,Hawthorne,San Jose
419597,Northwest,1935,5,4,1996,5828,Brighton,San Jose
359444,Northwest,1994,4,3,2021,5251,Greenwood,San Jose
362316,Northeast,2017,3,3,1984,5826,Brighton,Portland
418563,Northeast,2335,2,2,1998,5617,Greenwood,San Jose
284153,Southwest,2382,2,2,2022,6377,Brighton,San Jose
287402,Northwest,982,3,4,2021,5501,Greenwood,San Francisco
342524,Northeast,2608,3,4,2014,6253,Capitol Hill,San Francisco
382924,Central,2774,4,2,2001,6924,Hawthorne,Portland
424872,Central,1779,2,2,2003,5417,Brighton,Seattle
518028,Northwest,1811,5,3,1989,5236,Greenwood,San Francisco
468612,Central,2019,3,2,1981,6062,Greenwood,Seattle
387204,Southwest,1897,4,3,2007,3439,Greenwood,Portland
398478,Northeast,2289,4,3,2020,4625,Capitol Hill,San Francisco
319797,Northeast,1421,3,2,2016,4590,Greenwood,San Francisco
398518,Northeast,1752,4,4,1996,6052,Hawthorne,Portland
376907,Northwest,2815,4,4,1985,5650,Capitol Hill,San Jose
425817,Central,1828,4,4,2022,6768,Greenwood,Portland
333821,Southwest,2697,4,2,1984,6708,Hawthorne,Seattle
441547,Northwest,2342,2,2,2018,3538,Greenwood,Seattle
522619,Northeast,1476,4,2,1986,3813,Hawthorne,San Jose
391299,Southwest,2454,5,2,2011,5538,Hawthorne,Portland
432136,Northeast,2152,2,2,1983,3953,Greenwood,Portland
455211,Northeast,2017,3,2,2000,3527,Hawthorne,San Jose
367902,Northwest,2297,5,3,2021,4762,Brighton,Portland
417927,Northeast,2389,3,1,2011,3414,Greenwood,San Francisco
401007,Southwest,2483,4,2,1997,4472,Brighton,Portland
407814,Northeast,2671,4,1,2012,6211,Hawthorne,San Francisco
338159,Central,2363,4,3,1993,5013,Capitol Hill,Portland
401960,Northeast,1649,3,3,1985,6997,Capitol Hill,San Francisco
439839,Northwest,2010,3,1,1990,4931,Hawthorne,Seattle
516091,Southwest,3377,2,4,1999,6053,Brighton,San Jose
476741,Northwest,2489,4,1,2008,4970,Greenwood,Seattle
572254,Central,3147,4,2,2014,5283,Capitol Hill,San Francisco
338612,Northeast,2758,4,3,1995,5107,Brighton,San Jose
469785,Northwest,2296,4,3,1986,6056,Capitol Hill,Seattle
414667,Northwest,2320,3,1,2019,6224,Capitol Hill,Seattle
575184,Northwest,2185,2,4,2015,7561,Hawthorne,San Francisco
335336,Northwest,1504,4,4,2010,5514,Greenwood,Portland
332822,Central,2207,3,2,2021,6047,Brighton,Portland
352048,Central,2684,3,2,2022,4473,Brighton,San Francisco
230088,Northeast,1960,3,1,2022,6187,Greenwood,Seattle
357939,Northeast,2364,2,2,1985,5525,Brighton,Portland
339269,Southwest,2540,3,2,2008,2837,Capitol Hill,Portland
412031,Central,1836,4,3,2006,4631,Greenwood,Seattle
427340,Northwest,2019,5,2,2022,3426,Capitol Hill,San Francisco
550093,Northwest,1792,5,3,1981,4761,Capitol Hill,San Francisco
476033,Southwest,1871,5,2,2001,5806,Capitol Hill,Portland
353847,Northwest,1684,5,2,1988,5201,Greenwood,San Francisco
328126,Southwest,1839,4,2,1990,6116,Brighton,Seattle
439353,Northeast,2767,3,1,1995,3152,Capitol Hill,San Francisco
294381,Central,1833,4,2,1992,6458,Greenwood,San Jose
546516,Southwest,2250,3,3,1997,5745,Greenwood,San Francisco
494355,Northwest,1998,3,3,2004,4235,Hawthorne,San Francisco
362465,Southwest,2671,3,2,2012,5475,Hawthorne,San Francisco
262949,Northeast,2724,4,3,1989,7691,Hawthorne,San Jose
508309,Northwest,2545,3,2,2009,6965,Brighton,Seattle
390836,Northeast,2322,3,2,1980,7177,Brighton,San Francisco
499025,Northeast,2107,3,2,2012,5287,Brighton,Portland
272445,Southwest,1723,5,3,1994,6636,Brighton,San Francisco
352049,Northeast,2977,4,2,2008,6810,Capitol Hill,San Jose
400419,Northwest,1896,5,1,1981,4456,Greenwood,San Jose
403758,Northeast,2465,3,2,1990,6790,Greenwood,Portland
363994,Northeast,2623,3,4,2013,6564,Hawthorne,San Jose
449827,Southwest,1977,4,3,2020,4827,Greenwood,San Jose
314590,Northeast,2615,3,3,1998,5593,Brighton,San Jose
388609,Central,2505,4,3,1981,6858,Greenwood,Seattle
409623,Southwest,2891,4,2,1999,5442,Capitol Hill,San Jose
441155,Southwest,2012,4,3,2020,6383,Capitol Hill,San Francisco
456929,Northwest,1685,5,3,2010,5028,Hawthorne,Portland
310028,Northwest,1997,3,2,1983,4405,Brighton,San Francisco
277270,Northwest,2283,3,2,2008,4300,Greenwood,San Francisco
502214,Northwest,2223,4,2,2009,5218,Hawthorne,Portland
426585,Central,2042,3,2,1992,5938,Greenwood,Seattle
340121,Southwest,1436,3,3,1994,3742,Hawthorne,Seattle
524092,Northeast,2388,3,2,1999,7426,Hawthorne,San Jose
409253,Northwest,2988,3,2,2013,6567,Capitol Hill,Seattle
494343,Northwest,2385,3,3,2007,6013,Capitol Hill,Seattle
405401,Northwest,2443,2,2,1999,6315,Capitol Hill,San Jose
564859,Northeast,2428,4,2,2004,4852,Hawthorne,Seattle
540427,Northwest,2358,4,3,2006,4024,Capitol Hill,Seattle
380082,Northeast,2572,4,2,2009,5909,Capitol Hill,San Jose
477725,Southwest,2358,4,3,2020,6544,Brighton,San Francisco
451630,Southwest,2074,3,1,1999,5006,Greenwood,San Francisco
509490,Southwest,1881,3,2,1980,4555,Greenwood,Portland
322806,Central,2100,3,2,2014,4958,Brighton,Seattle
454884,Northeast,2325,4,2,2022,5981,Brighton,San Jose
484673,Northwest,2073,4,4,2003,6101,Capitol Hill,San Jose
259300,Northwest,2325,3,4,2004,7310,Capitol Hill,Seattle
305339,Northwest,2375,3,3,2019,5946,Greenwood,Seattle
236861,Northwest,2533,5,2,1991,4666,Brighton,San Jose
378447,Central,2713,4,4,1990,5202,Brighton,San Jose
457403,Northwest,2231,4,3,2009,4452,Capitol Hill,San Jose
